"time","state.mean_value"
"2024-01-01T14:12:00.000+04:00",
"2024-01-02T01:36:00.000+04:00","0.504"
"2024-01-02T13:00:00.000+04:00","0.4953271028037383"
"2024-01-03T00:24:00.000+04:00","0.5"
"2024-01-03T11:48:00.000+04:00","0.5"
"2024-01-03T23:12:00.000+04:00","0.5"
"2024-01-04T10:36:00.000+04:00","0.5"
"2024-01-04T22:00:00.000+04:00",
"2024-01-05T09:24:00.000+04:00",
"2024-01-05T20:48:00.000+04:00",
"2024-01-06T08:12:00.000+04:00",
"2024-01-06T19:36:00.000+04:00",
"2024-01-07T07:00:00.000+04:00",
"2024-01-07T18:24:00.000+04:00",
"2024-01-08T05:48:00.000+04:00","0.5"
"2024-01-08T17:12:00.000+04:00","0.5"
"2024-01-09T04:36:00.000+04:00","0.5"
"2024-01-09T16:00:00.000+04:00","0.5"
"2024-01-10T03:24:00.000+04:00","0.5027932960893855"
"2024-01-10T14:48:00.000+04:00","0.48936170212765956"
"2024-01-11T02:12:00.000+04:00","0.4954954954954955"
"2024-01-11T13:36:00.000+04:00","0.49523809523809526"
"2024-01-12T01:00:00.000+04:00",
"2024-01-12T12:24:00.000+04:00",
"2024-01-12T23:48:00.000+04:00",
"2024-01-13T11:12:00.000+04:00",
"2024-01-13T22:36:00.000+04:00",
"2024-01-14T10:00:00.000+04:00","0.5"
"2024-01-14T21:24:00.000+04:00","0.5"
"2024-01-15T08:48:00.000+04:00","0.5"
"2024-01-15T20:12:00.000+04:00",
"2024-01-16T07:36:00.000+04:00","0.5"
"2024-01-16T19:00:00.000+04:00","0.5"
"2024-01-17T06:24:00.000+04:00","0.5"
"2024-01-17T17:48:00.000+04:00",
"2024-01-18T05:12:00.000+04:00","0.5026455026455027"
"2024-01-18T16:36:00.000+04:00","0.46153846153846156"
"2024-01-19T04:00:00.000+04:00",
"2024-01-19T15:24:00.000+04:00",
"2024-01-20T02:48:00.000+04:00",
"2024-01-20T14:12:00.000+04:00",
"2024-01-21T01:36:00.000+04:00","0.5"
"2024-01-21T13:00:00.000+04:00",
"2024-01-22T00:24:00.000+04:00","0.504424778761062"
"2024-01-22T11:48:00.000+04:00","0.4961832061068702"
"2024-01-22T23:12:00.000+04:00","0.5"
"2024-01-23T10:36:00.000+04:00","0.5"
"2024-01-23T22:00:00.000+04:00","0.5111111111111111"
"2024-01-24T09:24:00.000+04:00","0.4975845410628019"
"2024-01-24T20:48:00.000+04:00","0.5"
"2024-01-25T08:12:00.000+04:00","0.5"
"2024-01-25T19:36:00.000+04:00",
"2024-01-26T07:00:00.000+04:00",
"2024-01-26T18:24:00.000+04:00",
"2024-01-27T05:48:00.000+04:00",
"2024-01-27T17:12:00.000+04:00",
"2024-01-28T04:36:00.000+04:00",
"2024-01-28T16:00:00.000+04:00",
"2024-01-29T03:24:00.000+04:00","0.5026178010471204"
"2024-01-29T14:48:00.000+04:00","0.4931506849315068"
"2024-01-30T02:12:00.000+04:00","0.6"
"2024-01-30T13:36:00.000+04:00",
"2024-01-31T01:00:00.000+04:00","0.5"
"2024-01-31T12:24:00.000+04:00","0.494949494949495"
"2024-01-31T23:48:00.000+04:00","0.5066666666666667"
"2024-02-01T11:12:00.000+04:00","0.4971751412429379"
"2024-02-01T22:36:00.000+04:00",
"2024-02-02T10:00:00.000+04:00",
"2024-02-02T21:24:00.000+04:00",
"2024-02-03T08:48:00.000+04:00",
"2024-02-03T20:12:00.000+04:00",
"2024-02-04T07:36:00.000+04:00",
"2024-02-04T19:00:00.000+04:00",
"2024-02-05T06:24:00.000+04:00","0.5"
"2024-02-05T17:48:00.000+04:00","0.5"
"2024-02-06T05:12:00.000+04:00","0.5020080321285141"
"2024-02-06T16:36:00.000+04:00","0.48148148148148145"
"2024-02-07T04:00:00.000+04:00","0.5023923444976076"
"2024-02-07T15:24:00.000+04:00","0.4915254237288136"
"2024-02-08T02:48:00.000+04:00","0.5033557046979866"
"2024-02-08T14:12:00.000+04:00","0.4943820224719101"
"2024-02-09T01:36:00.000+04:00",
"2024-02-09T13:00:00.000+04:00",
